Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,Male,Country,Timestamp,Clicked on Ad
82.03,41,71511.08,187.53,Intuitive dynamic attitude,0,Afghanistan,2016-05-02 7:00,0
80.03,44,24030.06,150.84,Automated static concept,0,Afghanistan,2016-07-23 14:47,1
51.38,59,42362.49,158.56,Object-based modular functionalities,0,Afghanistan,2016-06-17 17:11,1
77.07,40,44559.43,261.02,Face-to-face analyzing encryption,0,Afghanistan,2016-03-01 10:01,0
51.87,50,51869.87,119.65,Team-oriented dynamic forecast,0,Afghanistan,2016-03-10 22:28,1
45.99,33,51163.14,124.61,Face-to-face methodical intranet,1,Afghanistan,2016-02-27 15:04,1
61.88,45,38260.89,108.18,Balanced disintermediate conglomeration,0,Afghanistan,2016-05-30 8:02,1
68.01,25,68357.96,188.32,Ameliorated actuating workforce,1,Afghanistan,2016-01-01 3:35,0
72.84,26,52968.22,238.63,Progressive empowering alliance,0,Afghanistan,2016-07-08 21:18,0
73.84,31,42042.95,121.05,Programmable uniform productivity,0,Afghanistan,2016-06-18 17:23,1
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,1,Afghanistan,2016-05-20 12:17,0
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,1,Afghanistan,2016-03-15 14:06,1
80.38,30,55130.96,238.06,Business-focused holistic benchmark,0,Afghanistan,2016-03-10 7:07,0
56.46,26,66187.58,151.63,Ameliorated leadingedge help-desk,0,Afghanistan,2016-04-07 18:52,1
36.73,34,46737.34,149.79,Multi-lateral attitude-oriented adapter,1,Afghanistan,2016-06-27 1:56,1
39.86,36,32593.59,145.85,Total 5thgeneration standardization,0,Afghanistan,2016-06-26 17:16,1
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,1,Afghanistan,2016-06-06 21:26,0
70.58,26,56694.12,136.94,Proactive next generation knowledge user,0,Afghanistan,2016-02-26 9:18,1
57.86,30,18819.34,166.86,Horizontal modular success,0,Afghanistan,2016-07-08 17:14,1
78.15,33,72042.85,194.37,Ergonomic neutral portal,0,Afghanistan,2016-03-07 22:32,0
79.18,31,58443.99,236.96,Open-source holistic productivity,0,Afghanistan,2016-01-10 20:18,0
47.51,51,53700.57,130.41,Managed well-modulated collaboration,1,Afghanistan,2016-05-21 1:36,1
87.23,29,51015.11,202.12,Re-engineered responsive definition,0,Afghanistan,2016-03-26 19:54,0
35.49,48,43974.49,159.77,Fully-configurable holistic throughput,0,Afghanistan,2016-04-08 14:35,1
82.79,34,47997.75,132.08,Team-oriented zero-defect initiative,0,Afghanistan,2016-02-01 0:52,1
66.03,22,59422.47,217.37,Pre-emptive next generation strategy,0,Afghanistan,2016-05-31 23:32,0
46.28,26,50055.33,228.78,Stand-alone eco-centric system engine,1,Afghanistan,2016-04-18 21:07,1
53.33,34,44275.13,111.63,Configurable impactful productivity,1,Afghanistan,2016-03-14 4:34,1
72.01,31,57756.89,251,Horizontal multi-state interface,0,Afghanistan,2016-02-29 12:31,0
62.14,41,59397.89,110.93,Upgradable multi-tasking initiative,1,Afghanistan,2016-01-23 18:59,1
77.69,22,48852.58,169.88,Horizontal heuristic support,1,Afghanistan,2016-06-21 14:32,0
84.25,32,63936.5,170.9,Pre-emptive client-driven secured line,1,Afghanistan,2016-04-10 6:32,0
36.87,36,29398.61,195.91,Self-enabling incremental collaboration,0,Afghanistan,2016-01-28 11:50,1
77.6,24,58151.87,197.33,Open-architected system-worthy task-force,1,Afghanistan,2016-05-26 15:40,0
56.34,50,68713.7,139.02,Multi-channeled mission-critical success,1,Afghanistan,2016-03-17 23:39,1
65.07,34,73941.91,227.53,Monitored explicit hierarchy,1,Afghanistan,2016-03-11 0:05,0
35.11,35,47638.3,158.03,Extended analyzing emulation,1,Afghanistan,2016-03-11 13:07,1
74.06,50,60938.73,246.29,Horizontal intermediate monitoring,1,Afghanistan,2016-06-17 9:38,0
43.67,31,25686.34,166.29,Automated directional function,1,Afghanistan,2016-02-28 6:41,1
38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,0,Afghanistan,2016-05-13 6:09,1
77.5,28,60997.84,225.34,Face-to-face responsive alliance,1,Afghanistan,2016-07-13 14:05,0
66.4,40,77567.85,214.42,Digitized heuristic solution,0,Afghanistan,2016-06-05 0:29,0
79.81,24,56194.56,178.85,Proactive context-sensitive project,1,Afghanistan,2016-05-31 11:44,1
37.45,47,31281.01,167.86,Horizontal high-level concept,0,Afghanistan,2016-04-10 3:30,1
46.66,45,49101.67,118.16,Grass-roots mission-critical emulation,0,Afghanistan,2016-03-09 2:07,1
37.05,39,49742.83,142.81,Automated object-oriented firmware,1,Afghanistan,2016-02-03 5:47,1
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,1,Argentina,2016-06-19 3:19,1
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,1,Argentina,2016-02-13 15:37,0
89.66,34,52802.58,171.23,Advanced didactic conglomeration,1,Argentina,2016-02-03 15:15,0
67.71,25,63430.33,225.76,Synergized intangible open system,1,Argentina,2016-04-28 2:55,0
67.39,44,51257.26,107.19,Realigned intermediate application,0,Argentina,2016-01-24 13:41,1
86.41,28,45593.93,207.48,Digitized static capability,1,Argentina,2016-03-01 22:13,0
66,48,24593.33,131.76,Reactive local challenge,1,Argentina,2016-03-07 1:40,1
57.7,34,42696.67,109.07,Phased dynamic customer loyalty,0,Argentina,2016-03-14 23:13,1
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,0,Argentina,2016-06-16 2:01,1
78.32,28,49309.14,239.52,Synergized cohesive array,0,Argentina,2016-06-26 11:52,1
43.84,36,70592.81,167.42,Public-key real-time definition,0,Argentina,2016-06-28 9:19,1
51.56,46,63102.19,124.85,Business-focused client-driven forecast,0,Argentina,2016-01-07 13:58,1
89.37,34,42760.22,162.03,Compatible dedicated productivity,1,Argentina,2016-04-16 12:26,0
56.39,58,32252.38,154.23,Programmable uniform website,0,Australia,2016-02-14 10:06,1
75.15,22,52011,212.87,Universal global intranet,1,Australia,2016-05-04 12:06,0
62.06,44,44174.25,105,Adaptive contextually-based methodology,0,Australia,2016-04-12 14:01,1
83.42,25,49850.52,183.42,Advanced heuristic firmware,1,Australia,2016-03-04 14:10,0
78.76,24,46422.76,219.98,Reactive interactive protocol,1,Australia,2016-01-08 8:08,0
68.72,27,66861.67,225.97,Fundamental tangible moratorium,0,Australia,2016-02-23 17:37,0
77.63,29,56113.37,239.22,Upgradable asynchronous circuit,0,Australia,2016-02-14 17:05,0
83.4,34,66691.23,207.87,Polarized multimedia system engine,0,Australia,2016-05-22 21:54,0
64.63,45,15598.29,158.8,Triple-buffered high-level Internet solution,1,Australia,2016-06-12 3:11,1
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,1,Australia,2016-06-02 21:02,0
56.99,40,37713.23,108.15,Sharable optimal capacity,0,Australia,2016-07-16 23:08,1
56.2,49,53549.94,114.85,Adaptive uniform capability,1,Australia,2016-04-21 18:31,1
74.54,24,57518.73,219.75,Switchable secondary ability,0,Australia,2016-03-30 16:15,0
39.36,29,52462.04,161.79,Mandatory disintermediate info-mediaries,1,Australia,2016-01-14 20:58,1
79.8,28,57179.91,229.88,Customizable zero-defect Internet solution,1,Australia,2016-04-08 22:40,0
47,56,50491.45,149.53,Public-key bi-directional Graphical User Interface,0,Australia,2016-04-29 20:40,1
34.86,38,49942.66,154.75,Pre-emptive cohesive budgetary management,0,Australia,2016-06-18 17:56,1
56.39,27,38817.4,248.12,Configurable tertiary capability,1,Australia,2016-03-23 21:06,0
75.65,39,64021.55,247.9,Organized upward-trending contingency,1,Australia,2016-05-30 2:34,0
37.65,51,50457.01,161.29,Automated stable help-desk,1,Australia,2016-03-09 6:22,1
89.71,48,51501.38,204.4,Versatile local forecast,1,Australia,2016-02-17 7:00,0
79.71,34,69456.83,211.65,Seamless holistic time-frame,1,Australia,2016-07-02 14:57,0
80.51,28,64008.55,200.28,Robust dedicated system engine,1,Australia,2016-01-08 2:34,0
39.34,43,31215.88,148.93,Proactive radical support,0,Australia,2016-04-17 21:39,1
48.73,27,34191.23,142.04,Versatile content-based protocol,0,Australia,2016-07-09 16:23,1
42.95,33,30976,143.56,Grass-roots coherent extranet,0,Australia,2016-03-24 9:31,1
76.2,37,75044.35,178.51,Multi-layered fresh-thinking process improvement,0,Australia,2016-02-29 19:26,0
79.53,51,46132.18,244.91,Managed 6thgeneration hierarchy,0,Australia,2016-06-26 4:22,0
61.82,59,57877.15,151.93,Open-architected needs-based customer loyalty,1,Australia,2016-02-06 17:48,1
81.75,43,52520.75,249.45,Progressive 24/7 definition,0,Australia,2016-06-07 5:41,0
70.92,41,49995.63,108.16,Polarized modular function,1,Australia,2016-05-05 7:58,1
59.36,49,46931.03,110.84,Universal multi-state system engine,0,Australia,2016-07-01 1:12,1
82.72,31,65704.79,179.82,Cross-group global orchestration,0,Australia,2016-01-17 5:07,0
57.82,46,48867.36,107.56,Centralized asynchronous portal,1,Australia,2016-04-06 14:16,1
80.99,26,35521.88,207.53,Centralized clear-thinking Graphic Interface,1,Australia,2016-06-10 3:56,0
70.09,21,54725.87,211.17,Automated full-range Internet solution,0,Australia,2016-01-22 12:58,0
68.88,37,78119.5,179.58,Advanced 5thgeneration capability,0,Australia,2016-02-09 19:37,0
46.2,37,51315.38,119.3,Distributed maximized ability,0,Belgium,2016-04-03 11:38,1
84.59,36,47169.14,241.8,Integrated grid-enabled budgetary management,1,Belgium,2016-04-26 13:13,0
65.57,46,23410.75,130.86,Implemented asynchronous application,0,Belgium,2016-04-15 15:07,1
79.22,27,63429.18,198.79,Intuitive modular system engine,1,Belgium,2016-03-11 12:39,0
43.49,47,50335.46,127.83,User-centric intangible task-force,0,Belgium,2016-01-12 10:07,1
49.89,39,17709.98,160.03,Enhanced system-worthy application,1,Belgium,2016-04-16 12:09,1
44.64,36,55787.58,127.01,Up-sized incremental encryption,0,Belgium,2016-02-14 6:51,1
84.33,41,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,0,Belgium,2016-03-16 0:28,0
75.8,36,71222.4,224.9,Multi-layered fresh-thinking neural-net,0,Belgium,2016-01-21 4:30,0
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,0,Belgium,2016-04-07 16:02,0
61.04,41,75805.12,149.21,Operative didactic Local Area Network,0,Belgium,2016-05-02 15:31,1
80.94,36,60803,239.94,Self-enabling local strategy,0,Belgium,2016-01-01 5:31,0
72.23,25,46557.92,241.03,Focused 24hour implementation,1,Belgium,2016-07-05 17:17,0
88.97,45,49269.98,152.49,Advanced web-enabled standardization,0,Belgium,2016-06-11 18:32,1
68.82,20,38609.2,205.64,Cross-platform client-server hierarchy,1,Belgium,2016-07-11 15:45,0
78.18,23,52691.79,167.67,Customer-focused full-range neural-net,0,Belgium,2016-06-09 19:32,0
59.52,44,67511.86,251.08,Managed 5thgeneration time-frame,1,Belgium,2016-05-27 18:45,0
76.21,31,65834.97,228.94,Ameliorated exuding encryption,1,Belgium,2016-06-19 23:21,0
91.1,40,55499.69,198.13,Secured intermediate approach,1,Belgium,2016-03-07 22:51,0
72.18,30,69438.04,225.02,De-engineered attitude-oriented projection,0,Belgium,2016-06-10 22:21,0
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,0,Belgium,2016-04-20 21:49,0
79.36,34,57260.41,245.78,Profound maximized workforce,1,Belgium,2016-04-28 22:54,0
87.26,35,63060.55,184.03,Multi-layered tangible portal,0,Belgium,2016-05-12 4:35,0
52.84,51,38641.2,121.57,Synergistic asynchronous superstructure,1,Belgium,2016-06-29 10:50,1
75.55,36,31998.72,123.71,Decentralized attitude-oriented interface,1,Belgium,2016-03-12 6:05,1
72.55,22,58953.01,202.34,Balanced empowering success,0,Belgium,2016-02-08 7:33,0
51.3,45,67782.17,134.42,Grass-roots cohesive monitoring,1,Belgium,2016-04-22 2:07,1
76.02,22,46179.97,209.82,Business-focused value-added definition,0,Belgium,2016-01-27 12:38,0
46.13,31,60248.97,139.01,Customer-focused optimizing moderator,0,Belgium,2016-02-01 9:00,1
70.79,31,74535.94,184.1,Distributed tertiary system engine,0,Belgium,2016-03-15 15:49,0
85.86,34,63115.34,208.23,Networked high-level structure,0,Belgium,2016-05-23 2:15,0
43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,1,Belgium,2016-07-21 21:16,1
59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,1,Belgium,2016-07-06 18:36,1
76.49,23,56457.01,181.11,Public-key asynchronous matrix,0,Belgium,2016-03-25 5:05,0
78.35,46,53185.34,253.48,Pre-emptive client-server open system,0,Belgium,2016-01-11 2:07,0
50.6,48,65956.71,135.67,Customer-focused fault-tolerant implementation,0,Belgium,2016-01-15 22:49,1
45.01,26,29875.8,178.35,Virtual 5thgeneration emulation,0,Brazil,2016-06-03 21:43,1
54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,1,Brazil,2016-02-13 7:53,1
70.2,34,32708.94,119.2,Open-architected impactful productivity,0,Brazil,2016-04-14 5:08,1
73.18,23,61526.25,196.71,Organized static focus group,1,Brazil,2016-04-04 7:07,0
80.55,35,68016.9,219.91,Extended grid-enabled hierarchy,0,Brazil,2016-03-28 23:01,0
76.06,23,58633.63,201.04,Diverse multi-tasking parallelism,0,Brazil,2016-04-27 4:28,0
76.56,30,68030.18,213.75,Business-focused high-level hardware,0,Brazil,2016-03-08 10:39,0
51.58,33,49822.78,115.91,Vision-oriented system-worthy forecast,0,Brazil,2016-04-24 13:46,1
79.51,39,34942.26,125.11,Proactive non-volatile encryption,1,Brazil,2016-03-06 9:33,1
82.79,32,54429.17,234.81,Distributed fault-tolerant service-desk,1,Brazil,2016-02-24 10:36,0
86.06,32,61601.05,178.92,Focused upward-trending core,1,Brazil,2016-03-31 20:55,0
61.57,53,35253.98,125.94,Progressive 24hour forecast,1,Brazil,2016-03-14 14:13,1
65.1,49,59457.52,118.1,Up-sized real-time methodology,1,Brazil,2016-06-01 3:44,1
88.85,40,58363.12,213.96,Cloned optimal leverage,0,Brazil,2016-01-17 18:45,0
37.58,52,51600.47,176.7,Exclusive disintermediate Internet solution,1,Brazil,2016-04-13 13:04,1
67.26,57,25682.65,168.41,Focused incremental Graphic Interface,1,Brazil,2016-05-27 5:54,1
76.24,40,75524.78,198.32,Managed impactful definition,1,Brazil,2016-05-31 23:42,0
85.24,31,61840.26,182.84,Optional contextually-based flexibility,1,Brazil,2016-06-17 3:23,0
74.27,37,65180.97,247.05,Monitored executive architecture,1,Brazil,2016-01-31 9:57,0
66.79,60,60575.99,198.3,Decentralized client-driven data-warehouse,1,Brazil,2016-04-07 20:34,1
83.07,37,62491.01,230.87,Team-oriented grid-enabled Local Area Network,1,Brazil,2016-05-08 8:10,0
41.49,52,32635.7,164.83,Mandatory disintermediate utilization,0,Brazil,2016-05-20 8:49,1
85.61,27,47708.42,183.43,Customer-focused empowering ability,0,Brazil,2016-04-30 8:07,0
72.08,29,71228.44,169.5,Stand-alone national attitude,0,Brazil,2016-03-09 14:45,0
78.17,27,65227.79,192.27,Automated mobile model,1,Brazil,2016-04-26 20:57,0
83.91,29,53223.58,222.87,Distributed bifurcated challenge,0,Brazil,2016-01-04 22:27,0
40.47,38,24078.93,203.9,Sharable 5thgeneration access,0,Brazil,2016-07-22 7:44,1
87.98,38,56637.59,222.11,Focused scalable complexity,1,Brazil,2016-03-31 10:44,0
33.52,43,42191.61,165.56,Vision-oriented optimizing middleware,0,Brazil,2016-05-09 21:54,1
79.54,44,70492.6,217.68,Centralized multi-state hierarchy,1,Brazil,2016-01-05 16:34,0
83.49,33,66574,190.75,Polarized logistical hub,1,Brazil,2016-06-03 17:32,0
59.61,21,60637.62,198.45,Future-proofed coherent budgetary management,1,Brazil,2016-04-06 5:55,0
42.6,55,55121.65,168.29,Switchable analyzing encryption,0,Brazil,2016-07-11 18:12,1
78.67,26,63319.99,195.56,Proactive 5thgeneration frame,0,Brazil,2016-02-20 9:54,0
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,1,Brazil,2016-01-05 7:52,0
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,1,Brazil,2016-03-18 13:22,0
84.79,33,61771.9,214.53,Managed eco-centric encoding,0,Brazil,2016-03-30 19:09,0
80.71,26,58476.57,200.58,Team-oriented context-sensitive installation,0,Brazil,2016-06-24 5:50,0
67.76,31,66176.97,242.59,Programmable high-level benchmark,0,Brazil,2016-05-24 17:42,0
62.42,29,73910.9,198.5,Upgradable optimizing toolset,1,Canada,2016-03-10 23:36,0
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,0,Canada,2016-02-21 7:42,1
42.05,51,28357.27,174.55,Configurable 24/7 hub,1,Canada,2016-06-20 14:20,1
76.79,27,55677.12,235.94,Open-architected intangible strategy,0,Canada,2016-05-01 23:21,0
54.55,44,41547.62,109.04,Re-engineered optimal policy,0,Canada,2016-02-04 3:10,1
81.75,24,52656.13,190.08,Open-architected web-enabled benchmark,1,Canada,2016-04-29 18:53,0
80.3,58,49090.51,173.43,Managed client-server access,0,Canada,2016-04-04 20:01,1
84.29,30,56984.09,160.33,Team-oriented transitional methodology,1,Canada,2016-06-26 2:06,1
74.18,28,69874.18,203.87,Front-line even-keeled website,0,Canada,2016-01-20 2:31,0
70.39,32,47357.39,261.52,Phased 5thgeneration open system,1,Canada,2016-07-12 10:56,0
78.96,50,69868.48,193.15,Stand-alone well-modulated product,0,Canada,2016-02-12 1:55,1
77.51,36,73600.28,200.55,Total 5thgeneration encoding,0,Canada,2016-07-01 4:41,0
39.53,33,40243.82,142.21,Intuitive transitional artificial intelligence,1,Canada,2016-06-01 12:27,1
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,0,Canada,2016-05-27 6:19,0
37.32,50,56735.14,199.25,Versatile dedicated software,1,Canada,2016-03-30 23:40,1
81.11,39,56216.57,248.19,Total cohesive moratorium,1,Canada,2016-07-13 11:41,0
54.47,23,46780.09,141.52,Vision-oriented bifurcated contingency,0,Canada,2016-03-26 19:37,1
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,0,Canada,2016-01-11 7:36,1
72.07,31,69710.51,226.45,Grass-roots eco-centric instruction set,0,Canada,2016-04-16 16:38,0
57.64,36,37212.54,110.25,Robust web-enabled attitude,1,Canada,2016-01-18 15:18,1
55.77,49,55942.04,117.33,Fully-configurable high-level groupware,1,Canada,2016-03-15 14:33,1
44.57,31,38349.78,133.17,Adaptive context-sensitive application,1,Canada,2016-03-27 9:11,1
79.97,44,70449.04,216,Programmable empowering middleware,0,Canada,2016-07-13 1:48,0
41.7,39,42898.21,126.95,Innovative regional structure,0,Canada,2016-05-27 5:35,1
71.03,55,28186.65,150.77,Programmable didactic capacity,0,Canada,2016-03-12 7:18,1
87.16,33,60805.93,197.15,Reduced holistic help-desk,0,Canada,2016-02-11 11:50,0
45.44,43,48453.55,119.27,Enhanced intermediate standardization,0,Canada,2016-05-04 5:01,1
45.96,45,66281.46,141.22,Streamlined cohesive conglomeration,0,Canada,2016-06-03 0:55,1
42.39,42,66541.05,150.99,De-engineered mobile infrastructure,0,Canada,2016-04-28 5:50,1
72.44,34,70547.16,230.14,Customizable tangible hierarchy,0,Canada,2016-04-15 14:45,0
80.05,25,45959.86,219.94,Networked stable open architecture,1,Canada,2016-03-08 5:48,0
38.35,33,47447.89,145.48,Horizontal global leverage,1,Canada,2016-06-16 20:24,1
87.27,30,51824.01,204.27,Fully-configurable 5thgeneration circuit,1,Canada,2016-03-06 6:51,1
70.68,31,74430.08,199.08,Configurable multi-state utilization,0,Canada,2016-07-17 1:58,0
41.35,27,39193.45,162.46,Streamlined homogeneous analyzer,1,Canada,2016-03-03 3:51,1
79.67,28,58576.12,226.79,Total grid-enabled application,0,Canada,2016-07-20 1:56,0
38.96,38,36497.22,140.67,Versatile mission-critical application,1,Canada,2016-07-21 16:02,1
90.97,37,54520.14,180.77,Multi-lateral empowering throughput,0,Canada,2016-02-16 18:21,0
43.59,36,58849.77,132.31,Re-engineered context-sensitive knowledge user,1,Canada,2016-05-26 13:43,1
69.58,43,28028.74,255.07,Cross-group value-added success,0,Canada,2016-04-04 18:36,1
49.42,53,45465.25,128,Ameliorated well-modulated complexity,1,Canada,2016-07-07 18:07,1
55.35,39,75509.61,153.17,De-engineered object-oriented protocol,1,Canada,2016-03-08 0:37,1
88.89,35,50439.49,218.8,Balanced 4thgeneration success,1,Canada,2016-07-17 18:55,0
65.65,25,63879.72,224.92,Intuitive explicit firmware,1,Canada,2016-06-03 6:34,0
80.46,27,61625.87,207.96,Digitized zero administration paradigm,1,Canada,2016-02-04 2:13,0
80.72,31,68614.98,186.37,Re-engineered neutral success,0,Canada,2016-04-19 5:15,0
86.63,39,63764.28,209.64,Face-to-face multimedia success,1,Canada,2016-04-06 21:20,0
71.9,29,72203.96,193.29,De-engineered intangible flexibility,1,Canada,2016-04-24 7:20,0
57.99,50,62466.1,124.58,Innovative homogeneous alliance,0,Canada,2016-02-12 8:46,1
40.88,33,48554.45,136.18,Networked non-volatile synergy,1,Canada,2016-05-31 17:50,1
64.1,22,60465.72,215.93,Seamless object-oriented structure,0,Canada,2016-04-01 16:21,0
41.73,47,60812.77,144.71,Proactive client-server productivity,0,Canada,2016-04-08 22:48,1
66.12,49,39031.89,113.8,Stand-alone motivating moratorium,0,Canada,2016-02-15 7:27,1
56.16,25,66429.84,164.25,Seamless motivating approach,1,Canada,2016-01-22 19:43,1
80.6,31,67479.62,177.55,Sharable bottom-line solution,0,Canada,2016-04-07 3:56,0
76.9,28,66107.84,212.67,Synchronized multimedia model,0,Canada,2016-04-22 8:31,0
80.59,37,67744.56,224.23,Robust responsive collaboration,0,Canada,2016-07-21 23:14,0
83.97,40,66291.67,158.42,Progressive asynchronous adapter,1,Croatia,2016-02-02 11:49,0
70.13,31,70889.68,224.98,Profit-focused systemic support,0,Croatia,2016-05-16 23:21,0
70.05,33,75560.65,203.44,Diverse directional hardware,0,Croatia,2016-03-24 17:48,0
51.24,36,76368.31,176.73,Versatile transitional monitoring,0,Croatia,2016-01-03 16:01,1
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,1,Croatia,2016-01-07 19:16,1
80.91,32,61608.23,231.42,Enterprise-wide bi-directional secured line,0,Croatia,2016-01-31 4:10,0
66.08,61,58966.22,184.23,Synchronized multi-tasking ability,1,Croatia,2016-01-07 23:02,1
44.13,40,33601.84,128.48,Ameliorated discrete extranet,1,Croatia,2016-03-03 20:20,1
41.89,38,68519.96,163.38,Compatible systemic function,0,Croatia,2016-02-03 4:21,1
75.84,21,48537.18,186.98,Reactive bi-directional workforce,0,Croatia,2016-02-07 7:41,0
89,37,52079.18,222.26,Devolved regional moderator,1,Croatia,2016-01-26 15:56,0
69.15,46,36424.94,112.72,Automated multi-state toolset,0,Croatia,2016-07-24 0:22,1
66.83,46,77871.75,196.17,Assimilated hybrid initiative,1,Croatia,2016-02-28 23:10,0
41.84,49,37605.11,139.32,Operative secondary functionalities,0,Croatia,2016-05-01 8:27,1
91.15,38,36834.04,184.98,Robust uniform framework,0,Croatia,2016-02-22 7:04,0
41.88,40,44217.68,126.11,Streamlined exuding adapter,1,Croatia,2016-02-28 23:54,1
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,1,Croatia,2016-02-09 22:04,0
37.47,44,45716.48,141.89,Realigned content-based leverage,1,Croatia,2016-01-26 3:56,1
